Site/Site AQS/Param/POC,Date.LST,ugPerMeter3
Birney/300870001/PM2.5-88101/3,3/8/2018,2.3
Birney/300870001/PM2.5-88101/3,3/9/2018,1.6
Birney/300870001/PM2.5-88101/3,3/10/2018,8.1
Birney/300870001/PM2.5-88101/3,3/11/2018,5.3
Birney/300870001/PM2.5-88101/3,3/12/2018,5.5
Birney/300870001/PM2.5-88101/3,3/13/2018,6
Birney/300870001/PM2.5-88101/3,3/14/2018,5.4
Birney/300870001/PM2.5-88101/3,3/15/2018,6.3
Birney/300870001/PM2.5-88101/3,3/16/2018,4.5
Birney/300870001/PM2.5-88101/3,3/17/2018,4.7
Birney/300870001/PM2.5-88101/3,3/18/2018,5.2
Birney/300870001/PM2.5-88101/3,3/19/2018,2.6
Birney/300870001/PM2.5-88101/3,3/20/2018,1.2
Birney/300870001/PM2.5-88101/3,3/21/2018,0.9
Birney/300870001/PM2.5-88101/3,3/22/2018,2.5
Birney/300870001/PM2.5-88101/3,3/23/2018,3.5
Birney/300870001/PM2.5-88101/3,3/24/2018,2.1
Birney/300870001/PM2.5-88101/3,3/25/2018,2
Birney/300870001/PM2.5-88101/3,3/26/2018,2.2
Birney/300870001/PM2.5-88101/3,3/27/2018,2.4
Birney/300870001/PM2.5-88101/3,3/28/2018,2.8
Birney/300870001/PM2.5-88101/3,3/29/2018,3.1
Birney/300870001/PM2.5-88101/3,3/30/2018,2.6
Birney/300870001/PM2.5-88101/3,3/31/2018,3.4
Birney/300870001/PM2.5-88101/3,4/1/2018,3.3
Birney/300870001/PM2.5-88101/3,4/2/2018,4
Birney/300870001/PM2.5-88101/3,4/3/2018,5.5
Birney/300870001/PM2.5-88101/3,4/4/2018,3.6
Birney/300870001/PM2.5-88101/3,4/5/2018,4.6
Birney/300870001/PM2.5-88101/3,4/6/2018,3.1
Birney/300870001/PM2.5-88101/3,4/7/2018,2.3
Birney/300870001/PM2.5-88101/3,4/8/2018,4.2
Birney/300870001/PM2.5-88101/3,4/9/2018,2.2
Birney/300870001/PM2.5-88101/3,4/10/2018,2.8
Birney/300870001/PM2.5-88101/3,4/11/2018,2.7
Birney/300870001/PM2.5-88101/3,4/12/2018,2.9
Birney/300870001/PM2.5-88101/3,4/13/2018,3.3
Birney/300870001/PM2.5-88101/3,4/14/2018,3.6
Birney/300870001/PM2.5-88101/3,4/15/2018,2
Birney/300870001/PM2.5-88101/3,4/16/2018,4.4
